id,severity,languages,id_ori
java.lang.security.audit.xxe.documentbuilderfactory-external-parameter-entities-true,ERROR,java,java.lang.security.audit.xxe.documentbuilderfactory-external-parameter-entities-true.documentbuilderfactory-external-parameter-entities-true
java.lang.security.audit.xxe.saxparserfactory-disallow-doctype-decl-missing,ERROR,java,java.lang.security.audit.xxe.saxparserfactory-disallow-doctype-decl-missing.saxparserfactory-disallow-doctype-decl-missing
java.lang.security.audit.xxe.transformerfactory-dtds-not-disabled,ERROR,java,java.lang.security.audit.xxe.transformerfactory-dtds-not-disabled.transformerfactory-dtds-not-disabled
java.mongodb.security.injection.audit.mongodb-nosqli,WARNING,java,java.mongodb.security.injection.audit.mongodb-nosqli.mongodb-nosqli
java.rmi.security.server-dangerous-class-deserialization,WARNING,java,java.rmi.security.server-dangerous-class-deserialization.server-dangerous-class-deserialization
java.rmi.security.server-dangerous-object-deserialization,ERROR,java,java.rmi.security.server-dangerous-object-deserialization.server-dangerous-object-deserialization
java.servlets.security.cookie-issecure-false,WARNING,java,java.servlets.security.cookie-issecure-false.cookie-issecure-false
java.servlets.security.cookie-setSecure,WARNING,java,java.servlets.security.cookie-setSecure.cookie-setSecure
java.servlets.security.security-constraint-http-method,WARNING,xml,java.servlets.security.security-constraint-http-method.security-constraint-http-method
java.spring.security.unrestricted-request-mapping,WARNING,java,java.spring.security.unrestricted-request-mapping.unrestricted-request-mapping
java.spring.security.audit.spel-injection,WARNING,java,java.spring.security.audit.spel-injection.spel-injection
java.spring.security.audit.spring-actuator-fully-enabled-yaml,WARNING,yaml,java.spring.security.audit.spring-actuator-fully-enabled-yaml.spring-actuator-fully-enabled-yaml
java.spring.security.audit.spring-actuator-fully-enabled,ERROR,generic,java.spring.security.audit.spring-actuator-fully-enabled.spring-actuator-fully-enabled
java.spring.security.audit.spring-actuator-dangerous-endpoints-enabled-yaml,WARNING,yaml,java.spring.security.audit.spring-actuator-non-health-enabled-yaml.spring-actuator-dangerous-endpoints-enabled-yaml
java.spring.security.audit.spring-actuator-dangerous-endpoints-enabled,WARNING,generic,java.spring.security.audit.spring-actuator-non-health-enabled.spring-actuator-dangerous-endpoints-enabled
java.spring.security.audit.spring-csrf-disabled,WARNING,java,java.spring.security.audit.spring-csrf-disabled.spring-csrf-disabled
java.spring.security.audit.spring-jsp-eval,WARNING,generic,java.spring.security.audit.spring-jsp-eval.spring-jsp-eval
java.spring.security.audit.spring-sqli,WARNING,java,java.spring.security.audit.spring-sqli.spring-sqli
java.spring.security.audit.spring-unvalidated-redirect,WARNING,java,java.spring.security.audit.spring-unvalidated-redirect.spring-unvalidated-redirect
java.spring.security.injection.tainted-file-path,ERROR,java,java.spring.security.injection.tainted-file-path.tainted-file-path
java.spring.security.injection.tainted-html-string,ERROR,java,java.spring.security.injection.tainted-html-string.tainted-html-string
java.spring.security.injection.tainted-sql-string,ERROR,java,java.spring.security.injection.tainted-sql-string.tainted-sql-string
java.spring.security.injection.tainted-system-command,ERROR,java,java.spring.security.injection.tainted-system-command.tainted-system-command
java.spring.security.injection.tainted-url-host,ERROR,java,java.spring.security.injection.tainted-url-host.tainted-url-host
java.android.best-practice.nsc-allows-plaintext-traffic,INFO,generic,java.android.best-practice.network-security-config.nsc-allows-plaintext-traffic
java.android.best-practice.nsc-pinning-without-backup,INFO,generic,java.android.best-practice.network-security-config.nsc-pinning-without-backup
java.android.best-practice.nsc-pinning-without-expiration,INFO,generic,java.android.best-practice.network-security-config.nsc-pinning-without-expiration
java.android.best-practice.nsc-allows-user-ca-certs,WARNING,generic,java.android.best-practice.network-security-config.nsc-allows-user-ca-certs
java.android.best-practice.nsc-allows-user-ca-certs-for-domain,WARNING,generic,java.android.best-practice.network-security-config.nsc-allows-user-ca-certs-for-domain
